ImageIndex,BaseImageNumber,SynthImageNumber,OldNTTemplate,OldASDTemplate,NTBase,ASDBase,NTSynth,ASDSynth,BaseGap,SynthGap,GapReduction
1,45,30,0.8478260869565217,0.3414634146341463,0.6086956521739131,0.4130434782608695,0.7916666666666666,0.7708333333333334,0.1956521739130435,0.0208333333333332,0.1748188405797102
2,46,31,0.8636363636363636,0.6,0.9166666666666666,0.717391304347826,0.9166666666666666,0.7291666666666666,0.1992753623188405,0.1875,0.0117753623188405
3,47,32,0.5909090909090909,0.35,0.2608695652173913,0.1521739130434782,0.625,0.9130434782608696,0.108695652173913,0.2880434782608695,-0.1793478260869564
4,48,33,0.5,0.3170731707317073,0.3043478260869565,0.1666666666666666,0.2272727272727272,0.125,0.1376811594202898,0.1022727272727272,0.0354084321475626
5,49,34,0.5555555555555556,0.3,0.2727272727272727,0.1041666666666666,0.125,0.0681818181818181,0.168560606060606,0.0568181818181818,0.1117424242424242
6,50,35,0.8181818181818182,0.7073170731707317,0.8260869565217391,0.6041666666666666,0.9583333333333334,0.9347826086956522,0.2219202898550725,0.0235507246376811,0.1983695652173913
7,51,36,0.8604651162790697,0.8780487804878049,0.9583333333333334,0.875,0.9583333333333334,0.9583333333333334,0.0833333333333333,0.0,0.0833333333333333
8,52,37,0.7954545454545454,0.575,0.875,0.6363636363636364,0.9583333333333334,1.0,0.2386363636363636,0.0416666666666666,0.196969696969697
9,53,38,0.9545454545454546,0.775,0.875,0.8043478260869565,0.9565217391304348,1.0,0.0706521739130434,0.0434782608695651,0.0271739130434782
10,54,39,0.3863636363636363,0.2051282051282051,0.217391304347826,0.0869565217391304,0.6521739130434783,0.6875,0.1304347826086956,0.0353260869565217,0.0951086956521739
11,55,40,0.0697674418604651,0.2564102564102564,0.125,0.0416666666666666,0.4782608695652174,0.5833333333333334,0.0833333333333333,0.1050724637681159,-0.0217391304347826
12,56,41,0.8604651162790697,0.675,0.8636363636363636,0.7083333333333334,0.9166666666666666,0.875,0.1553030303030302,0.0416666666666666,0.1136363636363636
13,57,42,0.4186046511627907,0.3076923076923077,0.238095238095238,0.1041666666666666,0.3636363636363636,0.3043478260869565,0.1339285714285714,0.0592885375494071,0.0746400338791642
14,58,43,0.9333333333333332,0.8333333333333334,0.9166666666666666,0.9375,1.0,0.9130434782608696,0.0208333333333333,0.0869565217391304,-0.0661231884057971
15,59,44,0.9523809523809524,0.8205128205128205,0.9583333333333334,0.8333333333333334,0.9090909090909092,0.9583333333333334,0.125,0.0492424242424243,0.0757575757575756
