bin_left,bin_right,bin_center,all_images_count,clip_selected_count,all_images_density,clip_selected_density
0.04,0.045,0.042499999999999996,2,0,0.09523809523809523,0.0
0.045,0.049999999999999996,0.0475,1,0,0.047619047619047616,0.0
0.049999999999999996,0.05499999999999999,0.05249999999999999,1,0,0.047619047619047616,0.0
0.05499999999999999,0.05999999999999999,0.057499999999999996,1,0,0.047619047619047616,0.0
0.05999999999999999,0.06499999999999999,0.062499999999999986,1,0,0.047619047619047616,0.0
0.06499999999999999,0.06999999999999998,0.06749999999999998,2,0,0.09523809523809523,0.0
0.06999999999999998,0.07499999999999998,0.07249999999999998,1,0,0.047619047619047616,0.0
0.07499999999999998,0.07999999999999999,0.07749999999999999,2,0,0.09523809523809523,0.0
0.07999999999999999,0.08499999999999998,0.08249999999999999,0,0,0.0,0.0
0.08499999999999998,0.08999999999999997,0.08749999999999997,0,0,0.0,0.0
0.08999999999999997,0.09499999999999997,0.09249999999999997,1,0,0.047619047619047616,0.0
0.09499999999999997,0.09999999999999998,0.09749999999999998,1,0,0.047619047619047616,0.0
0.09999999999999998,0.10499999999999998,0.10249999999999998,1,0,0.047619047619047616,0.0
0.10499999999999998,0.10999999999999996,0.10749999999999997,0,0,0.0,0.0
0.10999999999999996,0.11499999999999996,0.11249999999999996,2,2,0.09523809523809523,0.6666666666666666
0.11499999999999996,0.11999999999999997,0.11749999999999997,0,0,0.0,0.0
0.11999999999999997,0.12499999999999997,0.12249999999999997,0,0,0.0,0.0
0.12499999999999997,0.12999999999999995,0.12749999999999995,0,0,0.0,0.0
0.12999999999999995,0.13499999999999995,0.13249999999999995,1,0,0.047619047619047616,0.0
0.13499999999999995,0.13999999999999996,0.13749999999999996,0,0,0.0,0.0
0.13999999999999996,0.14499999999999996,0.14249999999999996,1,0,0.047619047619047616,0.0
0.14499999999999996,0.14999999999999994,0.14749999999999996,0,0,0.0,0.0
0.14999999999999994,0.15499999999999994,0.15249999999999994,1,1,0.047619047619047616,0.3333333333333333
0.15499999999999994,0.15999999999999995,0.15749999999999995,0,0,0.0,0.0
0.15999999999999995,0.16499999999999995,0.16249999999999995,1,0,0.047619047619047616,0.0
0.16499999999999995,0.16999999999999996,0.16749999999999995,0,0,0.0,0.0
0.16999999999999996,0.17499999999999993,0.17249999999999993,0,0,0.0,0.0
0.17499999999999993,0.17999999999999994,0.17749999999999994,1,0,0.047619047619047616,0.0
