DeltaThreshold,MeanEffect,EffectMAD,MeanNDiscriminativeImages,NImagesMAD
0,0.12649727459519,0.00885276487819256,22.8532142857143,1.16305714285714
0.02,0.128140469860797,0.00904085418795211,21.25,1.17142857142857
0.04,0.129599637342652,0.00904466716225873,20.2464285714286,1.22292857142857
0.06,0.133627967536631,0.0105143297256129,11.8589285714286,1.48714285714286
0.08,0.133844373236997,0.0108763046153226,10.7860714285714,1.54182857142857
0.1,0.143105191063631,0.0129208073569826,6.89571428571429,1.20045714285714
0.12,0.142602586670495,0.0143967250854794,5.50714285714286,1.23771428571429
0.14,0.143066641376616,0.0149470983401116,4.90678571428571,1.20512857142857
0.16,0.154378128950007,0.0211307293499942,2.88178571428571,0.882035714285714
0.18,0.154412703206671,0.0226628032191343,2.50928571428571,0.895114285714286
0.2,0.163977131166837,0.0324444068021986,1.65357142857143,0.565785714285714
