threshold,n_discriminative_images
0.06989898989898993,36
0.12445695020191312,22
0.1790149105048363,12
0.2335728708077595,6
0.2881308311106827,2
0.34268879141360586,2
0.397246751716529,2
0.45180471201945227,1
0.5063626723223754,1
