model,nt_alignment_all_r,selected_gap_mean,selected_gap_sem,random_gap_mean,random_gap_sem,selected_gap_median,random_gap_median,uplift_mean,uplift_median,top_full_p,top_full_gap_mean,top_full_null_mean,top_full_null_sd,selected_gap_plot
AlexNet,-0.1612406711565046,0.0595988730332195,0.0001770349689297,0.0907027760774648,0.0004289799429724,0.0594285489347453,0.0870032057588499,-0.0311039030442452,-0.0285298770170083,0.9522095580883824,0.0595702665989743,0.0913231792549611,0.0204366650984681,0.0595702665989743
VGG-19,0.0981730274613635,0.1015367884495548,0.0002494418885787,0.0912812535091497,0.0004383445871967,0.1015970379610687,0.0872616852470904,0.010255534940405,0.0124692653285942,0.2871425714857029,0.101289281143074,0.0906633398473597,0.0205195210926309,0.101289281143074
ConvNeXt,0.1670242903104508,0.0674601043695536,0.0002149846097149,0.091116980234024,0.0004373419535423,0.067498008077153,0.0867717400089702,-0.0236568758644704,-0.0201216353064068,0.8788242351529694,0.0673453824889251,0.0908989779881086,0.0205484268741195,0.0673453824889251
CORnet-S,0.2925420943901487,0.1122218349811557,0.0003956077035035,0.0911074251927401,0.0004335372829119,0.1119554320288714,0.0868052370272768,0.0211144097884155,0.0222342283762855,0.1501699660067986,0.1126751493045023,0.0910665159376594,0.0204324809339263,0.1126751493045023
ResNet-50,0.3295189673537056,0.0720411040731504,0.0001803721405896,0.0901613195343117,0.0004286892314606,0.0719919006745978,0.0867249910380598,-0.0181202154611612,-0.0153744255121123,0.8146370725854829,0.0721794757105045,0.0906252121583866,0.0199623922732289,0.0721794757105045
ViT-B/16,0.5525857939026927,0.1197224384892164,0.0002663080705462,0.0904444897553212,0.0004321098089849,0.1195788226355795,0.0869094924914756,0.0292779487338951,0.031586331152337,0.0939812037592481,0.1193783695864998,0.0913886794054622,0.0202770071440018,0.1193783695864998
CLIP,0.5653770226539159,0.1485528895038676,0.0004264393235304,0.0912210373294581,0.0004279933344004,0.1488032747537837,0.0876751846637432,0.0573318521744094,0.0583432214963087,0.0055988802239552,0.1488276586346976,0.0909422896331564,0.0203113493850071,0.1488276586346976
