Stimulus,MorphLevel,true_ctrl_score,true_asd_score,delta_behavior_signed_ctrl_minus_asd,delta_behavior_abs,clip_pred_delta_abs,is_clip_selected_top20pct
0,100,0.9361702127659576,0.8837209302325582,0.05244928253339942,0.05244928253339942,0.049310447798820434,False
1,20,0.3111111111111111,0.4651162790697674,-0.15400516795865626,0.15400516795865626,0.04920935820905936,False
2,40,0.4090909090909091,0.4878048780487805,-0.07871396895787136,0.07871396895787136,0.05438167166196395,False
3,60,0.8372093023255814,0.9,-0.06279069767441858,0.06279069767441858,0.04846632082815672,False
4,80,0.8478260869565217,0.9,-0.05217391304347829,0.05217391304347829,0.031243402713293067,False
5,100,0.8863636363636364,0.8809523809523809,0.005411255411255422,0.005411255411255422,0.0034764676364256175,False
6,20,0.6744186046511628,0.7317073170731707,-0.05728871242200795,0.05728871242200795,0.00567522325026415,False
7,40,0.8181818181818182,0.95,-0.13181818181818172,0.13181818181818172,0.009957321771223104,False
8,60,0.8444444444444444,0.9523809523809524,-0.107936507936508,0.107936507936508,0.009096496756351491,False
9,80,0.9166666666666666,0.825,0.09166666666666667,0.09166666666666667,0.0035400755911253468,False
10,100,0.8636363636363636,0.8809523809523809,-0.017316017316017285,0.017316017316017285,0.13188103434997622,True
11,20,0.5,0.3170731707317073,0.18292682926829268,0.18292682926829268,0.12528210930851746,True
12,40,0.8478260869565217,0.3414634146341463,0.5063626723223754,0.5063626723223754,0.1367063474993382,True
13,60,0.8181818181818182,0.7073170731707317,0.11086474501108656,0.11086474501108656,0.14654001457704358,True
14,80,0.9545454545454546,0.8,0.15454545454545454,0.15454545454545454,0.1458216607385876,True
15,100,0.9302325581395348,0.9,0.030232558139534738,0.030232558139534738,0.019221067183570084,False
16,20,0.3777777777777777,0.4358974358974359,-0.05811965811965819,0.05811965811965819,0.03437625224252039,False
17,40,0.5909090909090909,0.5714285714285714,0.019480519480519543,0.019480519480519543,0.042667348560624374,False
18,60,0.7777777777777778,0.8048780487804879,-0.027100271002710064,0.027100271002710064,0.017026167454734287,False
19,80,0.8888888888888888,0.8571428571428571,0.031746031746031744,0.031746031746031744,0.04607085822243795,False
20,100,0.9130434782608696,0.9,0.013043478260869601,0.013043478260869601,0.027286703617155017,False
21,20,0.4634146341463415,0.3,0.1634146341463415,0.1634146341463415,0.04891440015185872,False
22,40,0.5909090909090909,0.5128205128205128,0.07808857808857816,0.07808857808857816,0.054709160358941855,False
23,60,0.7954545454545454,0.575,0.22045454545454546,0.22045454545454546,0.04458385481038457,False
24,80,0.9523809523809524,0.8205128205128205,0.13186813186813195,0.13186813186813195,0.027792761827161117,False
25,100,0.9069767441860463,0.9047619047619048,0.002214839424141579,0.002214839424141579,0.007328892869469583,False
26,20,0.5,0.5,0.0,0.0,0.0007406393623152763,False
27,40,0.5555555555555556,0.6578947368421053,-0.10233918128654973,0.10233918128654973,0.03435991072911615,False
28,60,0.7954545454545454,0.8461538461538461,-0.05069930069930073,0.05069930069930073,0.04864172477803652,False
29,80,0.8636363636363636,0.8205128205128205,0.04312354312354316,0.04312354312354316,0.007398148864772414,False
30,100,0.8409090909090909,0.825,0.015909090909090984,0.015909090909090984,0.03919120862930203,False
31,20,0.4772727272727273,0.4102564102564102,0.0670163170163171,0.0670163170163171,0.021552561146712,False
32,40,0.6818181818181818,0.5789473684210527,0.10287081339712911,0.10287081339712911,0.005205739676582,False
33,60,0.8636363636363636,0.6,0.26363636363636367,0.26363636363636367,0.019020764144169755,False
34,80,0.9545454545454546,0.775,0.17954545454545456,0.17954545454545456,0.04276166968392636,False
35,100,0.9333333333333332,0.8333333333333334,0.09999999999999987,0.09999999999999987,0.00732901214814019,False
36,20,0.5555555555555556,0.3,0.2555555555555556,0.2555555555555556,0.07699465137738848,True
37,40,0.7954545454545454,0.725,0.07045454545454544,0.07045454545454544,0.05611447664650948,False
38,60,0.8604651162790697,0.675,0.1854651162790697,0.1854651162790697,0.05923272796093637,False
